INFO  2017-09-25 15:36:37,645 [8    ] MIConsoleTester.Program                  - Riga 37
INFO  2017-09-25 15:36:37,645 [8    ] MIConsoleTester.Program                  - Riga 38
INFO  2017-09-25 15:36:37,645 [8    ] MIConsoleTester.Program                  - Riga 39
INFO  2017-09-25 15:36:37,645 [8    ] MIConsoleTester.Program                  - Riga 40
INFO  2017-09-25 15:36:37,645 [8    ] MIConsoleTester.Program                  - Riga 41
INFO  2017-09-25 15:36:37,645 [8    ] MIConsoleTester.Program                  - Riga 42
INFO  2017-09-25 15:36:37,645 [8    ] MIConsoleTester.Program                  - Riga 43
INFO  2017-09-25 15:36:37,645 [8    ] MIConsoleTester.Program                  - Riga 44
INFO  2017-09-25 15:36:37,645 [8    ] MIConsoleTester.Program                  - Riga 45
INFO  2017-09-25 15:36:37,645 [8    ] MIConsoleTester.Program                  - Riga 46
INFO  2017-09-25 15:36:37,645 [8    ] MIConsoleTester.Program                  - Riga 47
INFO  2017-09-25 15:36:37,645 [8    ] MIConsoleTester.Program                  - Riga 48
INFO  2017-09-25 15:36:37,645 [8    ] MIConsoleTester.Program                  - Riga 49
INFO  2017-09-25 15:36:37,645 [8    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-26 09:23:39,962 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-26 09:23:40,019 [9    ] MIConsoleTester.Program                  - Riga aaa
INFO  2017-09-26 09:23:40,021 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-26 09:25:42,616 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-26 09:25:42,624 [9    ] MIConsoleTester.Program                  - Riga aaa
INFO  2017-09-26 09:25:42,625 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-27 08:58:10,730 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 08:58:11,067 [9    ] MIConsoleTester.Program                  - Riga aaa
INFO  2017-09-27 08:58:11,071 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-27 09:05:18,087 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 09:05:18,105 [10   ] MIConsoleTester.Program                  - Riga aaa
INFO  2017-09-27 09:05:18,108 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-27 09:11:00,485 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 09:11:00,495 [9    ] MIConsoleTester.Program                  - Caricamento del file E:\AeL\GIT_Projects\mariniimpiantoluca\XMLFiles\impianto-test.xml
INFO  2017-09-27 09:11:00,497 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 09:11:00,500 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
INFO  2017-09-27 09:11:00,510 [9    ] MIConsoleTester.Program                  - Riga aaa
INFO  2017-09-27 09:11:00,510 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-27 09:11:50,261 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 09:11:50,268 [9    ] MIConsoleTester.Program                  - Caricamento del file E:\AeL\GIT_Projects\mariniimpiantoluca\XMLFiles\impianto-test.xml
INFO  2017-09-27 09:11:50,270 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 09:11:50,273 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
INFO  2017-09-27 09:39:41,977 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-27 14:10:16,462 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 14:10:16,517 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 14:10:27,193 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-27 14:12:30,408 [8    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 14:12:30,417 [8    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 14:12:44,850 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 14:12:44,857 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 14:12:44,912 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
INFO  2017-09-27 14:14:22,818 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-27 14:15:00,313 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 14:15:00,323 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 14:15:00,328 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
INFO  2017-09-27 14:16:24,070 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-27 14:16:26,839 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 14:16:26,849 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 14:16:26,852 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
INFO  2017-09-27 14:16:59,512 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-27 14:57:03,166 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 14:57:03,173 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 14:57:03,179 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
INFO  2017-09-27 14:57:03,179 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio ToPlainTextRecursive()
INFO  2017-09-27 14:57:03,182 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine ToPlainTextRecursive()

INFO  2017-09-27 14:57:27,804 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-27 14:57:55,532 [8    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 14:57:55,540 [8    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 14:57:55,548 [8    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
INFO  2017-09-27 14:57:55,549 [8    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio ToPlainTextRecursive()
INFO  2017-09-27 14:57:55,551 [8    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine ToPlainTextRecursive()

INFO  2017-09-27 14:58:01,823 [8    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-27 15:01:40,877 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:01:40,889 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:01:40,894 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
INFO  2017-09-27 15:01:40,895 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio ToPlainTextRecursive()
INFO  2017-09-27 15:01:40,899 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine ToPlainTextRecursive()

INFO  2017-09-27 15:01:49,164 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-27 15:02:13,069 [8    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:02:13,079 [8    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:02:13,083 [8    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
INFO  2017-09-27 15:02:13,084 [8    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio ToPlainTextRecursive()
INFO  2017-09-27 15:02:13,087 [8    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine ToPlainTextRecursive()

INFO  2017-09-27 15:06:53,355 [8    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:06:53,365 [8    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:06:53,369 [8    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
INFO  2017-09-27 15:06:53,369 [8    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio ToPlainTextRecursive()
INFO  2017-09-27 15:06:53,373 [8    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine ToPlainTextRecursive()

INFO  2017-09-27 15:07:04,945 [8    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-27 15:16:02,670 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:16:02,680 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:16:02,685 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
INFO  2017-09-27 15:16:02,687 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio ToPlainTextRecursive()
INFO  2017-09-27 15:16:02,693 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine ToPlainTextRecursive()

INFO  2017-09-27 15:16:51,683 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:16:51,691 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:19:09,672 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:19:09,683 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:21:28,151 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:21:28,161 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:28:51,909 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:28:51,921 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:34:54,672 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:34:54,681 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:41:42,553 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:41:42,560 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:42:49,198 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:42:49,223 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:43:54,323 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:43:54,338 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:44:45,573 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:45:30,445 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:46:09,456 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:46:17,076 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:47:21,977 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:47:32,001 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:56:28,027 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:56:28,035 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 15:59:16,405 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 15:59:16,416 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 16:04:36,681 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 16:04:36,690 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 16:04:50,838 [11   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 16:04:50,849 [11   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 16:36:55,532 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 16:36:55,794 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 16:45:02,759 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 16:45:02,774 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 16:45:29,371 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 16:45:29,402 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 16:59:07,204 [8    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 16:59:07,266 [8    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 16:59:53,881 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 16:59:53,897 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 17:00:23,448 [8    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 17:00:23,463 [8    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 17:01:13,099 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 17:01:13,130 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 17:04:00,591 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 17:04:00,599 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 17:04:09,302 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 17:04:09,309 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 17:04:32,946 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 17:04:32,956 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 17:16:35,969 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 17:16:35,986 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 17:17:18,874 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 17:17:18,884 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 17:31:40,184 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 17:31:40,200 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 17:32:04,343 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-27 17:40:20,144 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-27 17:40:20,151 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-27 17:40:20,156 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
INFO  2017-09-27 17:40:20,157 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio ToPlainTextRecursive()
INFO  2017-09-27 17:40:20,160 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine ToPlainTextRecursive()

INFO  2017-09-27 17:40:29,388 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-28 10:53:05,202 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-28 10:53:05,217 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-28 10:53:05,233 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
INFO  2017-09-28 10:53:05,233 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio ToPlainTextRecursive()
INFO  2017-09-28 10:53:05,233 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine ToPlainTextRecursive()

INFO  2017-09-28 10:53:23,930 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-28 10:56:02,615 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-28 10:56:02,615 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
